WEO,IAMC,Unit_WEO,Unit_IAMC,Conversion,Comment
Energy-Total gases-Buildings,Final Energy|Residential and Commercial|Gases,EJ,EJ/yr,1,
Energy-Total gases-Industry,Final Energy|Industry|Gases,EJ,EJ/yr,1,
Energy-Total gases-Total final consumption,Final Energy|Gases,EJ,EJ/yr,1,
Energy-Total gases-Transport,Final Energy|Transportation|Gases,EJ,EJ/yr,1,
Energy-Total liquids-Buildings,Final Energy|Residential and Commercial|Liquids,EJ,EJ/yr,1,
Energy-Total liquids-Industry,Final Energy|Industry|Liquids,EJ,EJ/yr,1,
Energy-Total liquids-Total energy supply,Final Energy|Liquids,EJ,EJ/yr,1,
Energy-Total liquids-Total final consumption,0,EJ,EJ/yr,1,
Energy-Total liquids-Transport,Final Energy|Transportation|Liquids,,,,
Energy-Total oil-Total energy supply,,,,,
Energy-Total solid fuels-Buildings,Final Energy|Residential and Commercial|Solids,EJ,EJ/yr,1,
Energy-Total solid fuels-Industry,Final Energy|Industry|Solids,EJ,EJ/yr,1,
Energy-Total solid fuels-Total final consumption,Final Energy|Solids,EJ,EJ/yr,1,
Energy-Traditional use of biomass-Residential,Final Energy|Residential|Solids|Biomass,EJ,EJ/yr,1,
Energy-Traditional use of biomass-Total energy supply,Primary Energy|Biomass|Traditional,EJ,EJ/yr,1,
Energy-Wind-Electricity generation,Secondary Energy|Electricity|Wind,TWh,EJ/yr,0.0036,
Energy-Wind-Power sector inputs,Primary Energy|Wind,EJ,EJ/yr,1,
Energy-Wind-Total energy supply,,,,,
Energy intensity-Total-TES per GDP,,,,,
Industrial material production-Aluminium-Non-ferrous metals: aluminium,Production|Non-Ferrous Metals|Aluminum,Million tonnes,million t,1,
Industrial material production-Cement-Non-metallic minerals: cement,Production|Non-Metallic Minerals|Cement,Million tonnes,million t,1,
Industrial material production-Crude steel-Iron and steel,Production|Iron and Steel|Steel,Million tonnes,million t,1,
Industrial material production-Primary chemicals-Chemicals,Production|Chemicals,Million tonnes,million t,1,
Population indicators-Total-Population,Population,,,,
Stock-Floorspace-Residential,Energy Service|Residential|Floor Space,Million square meters,billion m2,0.001,
